,sentence,term,polarity,from,to,ln
440,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",['pizza'],['positive'],['80'],['85'],[5]
441,I complete the total bagel experience by having it lightly toasted.,['bagel'],['positive'],['21'],['26'],[5]
442,I could have drank 4 glasses of water and still been parched - so watch out.,['glasses of water'],['neutral'],['21'],['37'],[16]
443,I couldn't reccommend their Godmother pizza any higher.,['Godmother pizza'],['positive'],['28'],['43'],[15]
444,"I didn't complain, I liked the atmosphere so much.",['atmosphere'],['positive'],['31'],['41'],[10]
445,"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.","['pastrami on challah sandwich', 'soups', 'knishes']","['positive', 'positive', 'positive']","['55', '112', '142']","['83', '117', '149']","[28, 5, 7]"
446,"I didn't take a look at the rest menu, but the oysters were fantastic.","['menu', 'oysters']","['neutral', 'positive']","['33', '47']","['37', '54']","[4, 7]"
447,I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,['lunch specials'],['negative'],['19'],['33'],[14]
448,I do suggest to ask to be seated upstairs if you are looking to be a little cozy.,['upstairs'],['positive'],['33'],['41'],[8]
449,"I don't know about you guys, but when I go somewhere to eat I go for the food not for the atmosphere.","['food', 'atmosphere']","['neutral', 'neutral']","['73', '90']","['77', '100']","[4, 10]"
450,I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,['music'],['negative'],['163'],['168'],[5]
451,"I don't like Indian food too much and this was delicious, however you want to factor that into the equation.",['Indian food'],['positive'],['13'],['24'],[11]
452,I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.,['egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork'],['positive'],['24'],['104'],[80]
453,"I found it on a cold night, the perfect spot to warm up.",['spot'],['positive'],['40'],['44'],[4]
454,"I found the food to be outstanding, particulary the salmon dish I had.","['food', 'salmon dish']","['positive', 'positive']","['12', '52']","['16', '63']","[4, 11]"
455,"I found the food, service and value exceptional everytime I have been there.","['food', 'service', 'value']","['positive', 'positive', 'positive']","['12', '18', '30']","['16', '25', '35']","[4, 7, 5]"
456,I found the variety of the sashimi plate to be satisfying - fresh and yummy.,['sashimi plate'],['positive'],['27'],['40'],[13]
457,I go back in line like three times on average until I can't walk anymore.,['line'],['negative'],['13'],['17'],[4]
458,I got an excellent piece of cheesecake and we had several other nice pastries.,"['cheesecake', 'pastries']","['positive', 'positive']","['28', '69']","['38', '77']","[10, 8]"
459,"I got the $10 10-piece dim sum combo, every bite of which was great.",['dim sum combo'],['positive'],['23'],['36'],[13]
460,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,['Dosa'],['neutral'],['17'],['21'],[4]
461,I grew up on these bagels.,['bagels'],['positive'],['19'],['25'],[6]
462,I had Filet Mignon with garlic mash.,['Filet Mignon with garlic mash'],['neutral'],['6'],['35'],[29]
463,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,"['Lobster Bisque', 'Maine Lobster']","['positive', 'positive']","['6', '37']","['20', '50']","[14, 13]"
464,I had a huge pastrami sandwich on a roll.,['pastrami sandwich'],['positive'],['13'],['30'],[17]
465,"I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one.",['dinner'],['neutral'],['13'],['19'],[6]
466,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.","['meal', 'server', 'wine', 'wine', 'price range', 'priced']","['positive', 'positive', 'positive', 'negative', 'positive', 'neutral']","['17', '31', '67', '146', '79', '139']","['21', '37', '71', '150', '90', '145']","[4, 6, 4, 4, 11, 6]"
467,I had been a regular due to the consistently good food and ease of getting a table.,"['food', 'getting a table']","['positive', 'positive']","['50', '67']","['54', '82']","[4, 15]"
468,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,['Edamame pureed'],['positive'],['16'],['30'],[14]
469,I had the Pad Thai and the noodles were sticky.,"['Pad Thai', 'noodles']","['negative', 'negative']","['10', '27']","['18', '34']","[8, 7]"
470,I had the best ravioli ever.,['ravioli'],['positive'],['15'],['22'],[7]
471,"I had the black cod with yuzu sauce, which was wonderful.",['black cod with yuzu sauce'],['positive'],['10'],['35'],[25]
472,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).","['cod with paella', 'fish and chips', 'serving', 'fish', 'fries']","['negative', 'negative', 'negative', 'neutral', 'neutral']","['10', '127', '156', '187', '211']","['25', '141', '163', '191', '216']","[15, 14, 7, 4, 5]"
473,I had the duck breast special on my last visit and it was incredible.,['duck breast special'],['positive'],['10'],['29'],[19]
474,I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.,"['mango chicken', 'presentation']","['positive', 'positive']","['10', '85']","['23', '97']","[13, 12]"
475,"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.","['salmon dish', 'flavor', 'price']","['conflict', 'negative', 'neutral']","['10', '100', '53']","['21', '106', '58']","[11, 6, 5]"
476,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.","['tuna tartare', 'sake', 'mushroom ravioli', 'pinot noir', 'chocolate sampler', 'dessert wine']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']","['10', '28', '34', '56', '76', '101']","['22', '32', '50', '66', '93', '113']","[12, 4, 16, 10, 17, 12]"
477,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.","['eggs benedict', 'hollondaise sauce', 'brunch']","['negative', 'negative', 'neutral']","['12', '99', '30']","['25', '116', '36']","[13, 17, 6]"
478,I had to ask her three times before she finally came back with the dish Ive requested.,['dish'],['neutral'],['67'],['71'],[4]
479,I had to share my table with a loud group of kids and the service was rude an unattentive.,"['service', 'table']","['negative', 'negative']","['58', '18']","['65', '23']","[7, 5]"
480,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,['reservation'],['neutral'],['55'],['66'],[11]
481,"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.","['food', 'quality']","['negative', 'negative']","['91', '120']","['95', '127']","[4, 7]"
482,I have been about 4 times and have always had a great meal.,['meal'],['positive'],['54'],['58'],[4]
483,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,"['service', 'staff']","['positive', 'positive']","['84', '106']","['91', '111']","[7, 5]"
484,"I have been here a few times for dinner, once for brunch and twice for lunch.","['dinner', 'brunch', 'lunch']","['neutral', 'neutral', 'neutral']","['33', '50', '71']","['39', '56', '76']","[6, 6, 5]"
485,"I have been there many times, and food is good and consistent.",['food'],['positive'],['34'],['38'],[4]
486,I have been to spice three times- twice during lunch and once at dinner.,"['lunch', 'dinner']","['neutral', 'neutral']","['47', '65']","['52', '71']","[5, 6]"
487,I have eaten a lot of pizza here.,['pizza'],['neutral'],['22'],['27'],[5]
488,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",['food'],['positive'],['38'],['42'],[4]
489,I have eaten there 3-4 times and the food was always good.,['food'],['positive'],['37'],['41'],[4]
490,I have enjoyed everything I have ever gotten and the fish is so fresh and always prepared in a great way.,['fish'],['positive'],['53'],['57'],[4]
491,"I have had so many dinners here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups.",['dinners'],['positive'],['19'],['26'],[7]
492,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.","['food', 'wine', 'prices']","['positive', 'positive', 'positive']","['99', '108', '136']","['103', '112', '142']","[4, 4, 6]"
493,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,"['food', 'feel', 'taste']","['positive', 'positive', 'positive']","['55', '68', '42']","['59', '72', '47']","[4, 4, 5]"
494,I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,['lunch specials'],['positive'],['99'],['113'],[14]
495,I have never before eaten 40 pieces of relatively good nigiri.,['nigiri'],['neutral'],['55'],['61'],[6]
496,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,"['root vegetables', 'mushroom consomme', 'chef']","['positive', 'positive', 'positive']","['35', '56', '85']","['50', '73', '89']","[15, 17, 4]"
497,I have never had cheescake like this.,['cheescake'],['positive'],['17'],['26'],[9]
498,I have to say I have never had a disapointing meal here.,['meal'],['positive'],['46'],['50'],[4]
499,I have to say that if this what makes it easier to get a saet a lunch- I dont mind.,['lunch'],['neutral'],['64'],['69'],[5]
500,"I have tried to make reservations, but both times, the hostess didn't have my name.","['reservations', 'hostess']","['neutral', 'negative']","['21', '55']","['33', '62']","[12, 7]"
501,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.","['lamb chop', 'salads', 'lemon', 'extra virgnin olive oil']","['positive', 'positive', 'positive', 'positive']","['16', '51', '87', '97']","['25', '57', '92', '120']","[9, 6, 5, 23]"
502,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.","['food', 'ambience', 'service']","['positive', 'positive', 'positive']","['45', '55', '78']","['49', '63', '85']","[4, 8, 7]"
503,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,"['caviar', 'service']","['positive', 'positive']","['72', '93']","['78', '100']","[6, 7]"
504,I highly recommend visiting this restaurant and having dinner and drinks!,"['dinner', 'drinks']","['positive', 'positive']","['55', '66']","['61', '72']","[6, 6]"
505,I just wonder how you can have such a delicious meal for such little money.,"['meal', 'money']","['positive', 'positive']","['48', '69']","['52', '74']","[4, 5]"
506,I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to share with the rice congee soup people.,"['table', 'rice congee soup']","['neutral', 'neutral']","['76', '136']","['81', '152']","[5, 16]"
507,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",['people'],['negative'],['56'],['62'],[6]
508,"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down.","['food', 'food']","['positive', 'positive']","['16', '80']","['20', '84']","[4, 4]"
509,"I like the ambience, it's very dark and original.",['ambience'],['positive'],['11'],['19'],[8]
510,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","['somosas', 'chai', 'chole', 'dhosas', 'dhal']","['positive', 'positive', 'positive', 'negative', 'negative']","['11', '20', '34', '49', '60']","['18', '24', '39', '55', '64']","[7, 4, 5, 6, 4]"
511,I liked the beer selection!,['beer selection'],['positive'],['12'],['26'],[14]
512,I liked the food at this quasi-thai restaurant.,"['food', 'quasi-thai']","['positive', 'positive']","['12', '25']","['16', '35']","[4, 10]"
513,I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.,['bar scene'],['positive'],['77'],['86'],[9]
514,I look forward to eating here again,['eating'],['positive'],['18'],['24'],[6]
515,I love Indian food and consider myself to be quite an expert on it.,['Indian food'],['positive'],['7'],['18'],[11]
516,I love and I know gourmet food by excellence!,['gourmet food'],['positive'],['18'],['30'],[12]
517,I love the atmorphere @ peep!,['atmorphere'],['positive'],['11'],['21'],[10]
518,I love the fact that the pizza tastes so good and is so cheap.,['pizza'],['positive'],['25'],['30'],[5]
519,I love to visit Murrays for my bagel fix.,['bagel'],['positive'],['31'],['36'],[5]
520,"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.","['ingrediants', 'cuisine', 'food']","['positive', 'positive', 'positive']","['52', '84', '74']","['63', '91', '78']","[11, 7, 4]"
521,I loved everythig about it-especially the shows and actors.,"['shows', 'actors']","['positive', 'positive']","['42', '52']","['47', '58']","[5, 6]"
522,I must say it's a little pricey for the food because it was not as spectacular as the view.,['food'],['negative'],['40'],['44'],[4]
523,I must say the view of NYC is so beautiful!,['view'],['positive'],['15'],['19'],[4]
524,"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.","['portions', 'appetizers', 'appetizer', 'main entree', 'cold udon', 'chef', 'menu', 'dish', 'portions']","['negative', 'negative', 'negative', 'neutral', 'neutral', 'positive', 'positive', 'negative', 'negative']","['32', '78', '224', '303', '324', '163', '186', '237', '270']","['40', '88', '233', '314', '333', '167', '190', '241', '278']","[8, 10, 9, 11, 9, 4, 4, 4, 8]"
525,"I need at least three rolls to be full, and that's at least $14.00!",['rolls'],['neutral'],['22'],['27'],[5]
526,I noted it was crossed off on the bill.,['bill'],['neutral'],['34'],['38'],[4]
527,"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.","['spinach ravioli in a light oil and garlic sauce', 'dish', 'dishes']","['positive', 'positive', 'neutral']","['30', '22', '157']","['77', '26', '163']","[47, 4, 6]"
528,I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.,"['Chicken Teriyaki dish', 'chicken']","['negative', 'negative']","['12', '53']","['33', '60']","[21, 7]"
529,I ordered a Lassi and asked 4 times for it but never got it.,['Lassi'],['neutral'],['12'],['17'],[5]
530,"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.","['tamarind duck', 'noodles with ground beef', 'dishes', 'Thai flavors']","['positive', 'positive', 'positive', 'positive']","['10', '44', '112', '126']","['23', '68', '118', '138']","[13, 24, 6, 12]"
531,I ordered the chu chu curry and my friend ordered the pad thai chicken.,"['chu chu curry', 'pad thai chicken']","['neutral', 'neutral']","['14', '54']","['27', '70']","[13, 16]"
532,I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,"['crab cocktail', 'lime juice concoction', 'lime']","['negative', 'neutral', 'neutral']","['14', '51', '107']","['27', '72', '111']","[13, 21, 4]"
533,I ordered the smoked salmon and roe appetizer and it was off flavor.,['smoked salmon and roe appetizer'],['negative'],['14'],['45'],[31]
534,I particularly love their yellowfun tuna and their mussel selection.,"['yellowfun tuna', 'mussel selection']","['positive', 'positive']","['26', '51']","['40', '67']","[14, 16]"
535,"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....","['bruschetta', 'panini']","['positive', 'positive']","['73', '85']","['83', '91']","[10, 6]"
536,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).,"['scallops', 'mahi mahi (on saffron risotto']","['positive', 'positive']","['23', '40']","['31', '69']","[8, 29]"
537,I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.,"['noodle dishes', 'Green Curry dish']","['positive', 'negative']","['19', '66']","['32', '82']","[13, 16]"
538,I really loved the different and inovated touch that's the cheff gives to the food.,"['cheff', 'food']","['positive', 'positive']","['59', '78']","['64', '82']","[5, 4]"
539,I really recommend the very simple Unda (Egg) rolls.,['Unda (Egg) rolls'],['positive'],['35'],['51'],[16]
540,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,['lunch'],['neutral'],['60'],['65'],[5]
541,I recieved prompt service with a smile.,['service'],['positive'],['18'],['25'],[7]
542,I recommend getting a reservation even though we saw people seated without one.,['reservation'],['neutral'],['22'],['33'],[11]
543,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.","['garlic shrimp', 'lamb', 'okra (bindi)']","['positive', 'positive', 'positive']","['16', '63', '31']","['29', '67', '43']","[13, 4, 12]"
544,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.","['jelly fish', 'drunken chicken', 'soupy dumplings', 'stir fry blue crab']","['positive', 'positive', 'positive', 'positive']","['16', '28', '52', '83']","['26', '43', '67', '101']","[10, 15, 15, 18]"
545,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,"['meatballs', 'caprese salad', 'beans on toast', 'meal']","['positive', 'positive', 'positive', 'neutral']","['16', '30', '52', '97']","['25', '43', '66', '101']","[9, 13, 14, 4]"
546,"I recommend their Pad See Ew, Pork Chops or Tofu plates.","['Pad See Ew', 'Pork Chops', 'Tofu plates']","['positive', 'positive', 'positive']","['18', '30', '44']","['28', '40', '55']","[10, 10, 11]"
547,I recommend this place to everyone who asks me where to go for a good meal.,['meal'],['positive'],['70'],['74'],[4]
548,I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.,"['cuisine', 'prices']","['positive', 'positive']","['49', '71']","['56', '77']","[7, 6]"
549,I started out with a Bombay beer which was big enough for two.,['Bombay beer'],['positive'],['21'],['32'],[11]
550,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","['sushi', 'sushi bar']","['neutral', 'neutral']","['118', '146']","['123', '155']","[5, 9]"
551,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",['sea urchin'],['positive'],['42'],['52'],[10]
552,I think I've had some the best meals of my life at minnow.,['meals'],['positive'],['31'],['36'],[5]
553,I think the stuff was better than Disney.,['stuff'],['positive'],['12'],['17'],[5]
554,"I took my girlfriend there for her birthday last night and we had a relaxing, really good meal.",['meal'],['positive'],['90'],['94'],[4]
555,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","['ambiance', 'service', 'foods', 'tastes', 'sommlier', 'captain', 'back waiters']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']","['82', '108', '217', '228', '128', '163', '175']","['90', '115', '222', '234', '136', '170', '187']","[8, 7, 5, 6, 8, 7, 12]"
556,I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,"['lines', 'crowds']","['negative', 'negative']","['93', '83']","['98', '89']","[5, 6]"
557,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,"['diner', 'wait staff', 'table']","['neutral', 'negative', 'negative']","['28', '61', '41']","['33', '71', '46']","[5, 10, 5]"
558,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,['customer service'],['negative'],['49'],['65'],[16]
559,"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",['service'],['negative'],['71'],['78'],[7]
560,I was pretty much full after our fondue appetizer.,['fondue appetizer'],['neutral'],['33'],['49'],[16]
561,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,['food'],['negative'],['85'],['89'],[4]
562,I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,['thai cuisine'],['positive'],['77'],['89'],[12]
563,I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.,['front doors'],['neutral'],['52'],['63'],[11]
564,"I wasn't there for the Half-Price Saturday Night Special, but Tuesday Night.",['Half-Price Saturday Night Special'],['neutral'],['23'],['56'],[33]
565,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",['wait'],['negative'],['29'],['33'],[4]
566,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.","['pre-theater menu', 'roasted tomato soup with chevre', 'steak frites', 'creme brulee']","['positive', 'positive', 'positive', 'positive']","['39', '68', '101', '115']","['55', '99', '113', '127']","[16, 31, 12, 12]"
567,"I went here with a friend on a whim, we went someplace else first and couldn't get a table.",['table'],['negative'],['85'],['90'],[5]
568,I went there for lunch and it was not as good as I expected from the reviews I read.,['lunch'],['neutral'],['17'],['22'],[5]
569,I went there in late afternoon for some bite size food and refleshment with my date.,"['food', 'refleshment']","['neutral', 'neutral']","['50', '59']","['54', '70']","[4, 11]"
570,I went to DF for Valentines Day dinner.,['Valentines Day dinner'],['neutral'],['17'],['38'],[21]
571,I went to Del Frisco's Friday night with my boyfriend for an 8:00 reservation.,['reservation'],['neutral'],['66'],['77'],[11]
572,I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.,"['table', 'wait']","['neutral', 'negative']","['45', '115']","['50', '119']","[5, 4]"
573,I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,['Italian food'],['positive'],['76'],['88'],[12]
574,I won't go back unless someone else is footing the bill.,['bill'],['negative'],['51'],['55'],[4]
575,"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.",['oatmeal'],['positive'],['39'],['46'],[7]
576,I would definitely go back -- if only for some of those exotic martinis on the blackboard.,['martinis'],['positive'],['63'],['71'],[8]
577,"I would definitely go back for a very special occasion, but not for regular fine dining.",['dining'],['neutral'],['81'],['87'],[6]
578,I would definitely recommend SEA if you like thai cuisine!,['thai cuisine'],['positive'],['45'],['57'],[12]
579,I would have gotten some cole slaw and a knish if my stomach had more space.,"['cole slaw', 'knish']","['neutral', 'neutral']","['25', '41']","['34', '46']","[9, 5]"
580,I would highly recommand requesting a table by the window.,['table by the window'],['positive'],['38'],['57'],[19]
581,I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.,"['candles', 'dinner', 'surrounding', 'pictures']","['positive', 'positive', 'positive', 'positive']","['121', '71', '97', '140']","['128', '77', '108', '148']","[7, 6, 11, 8]"
582,I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.,['atmosphere'],['positive'],['67'],['77'],[10]
583,I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.,['Indian dining experience'],['positive'],['72'],['96'],[24]
584,I would like to return and try some of the other menu items when I don't have to rush off to a show.,['menu items'],['positive'],['49'],['59'],[10]
585,"I would never wait for a table to eat, it just is not THAT great.",['table'],['neutral'],['25'],['30'],[5]
586,"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!","['portions', 'qualities']","['negative', 'negative']","['47', '63']","['55', '72']","[8, 9]"
587,"I would recommend Roxy's for that, but not for their food.",['food'],['negative'],['53'],['57'],[4]
588,I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.,"['drink', 'bar', 'wait time']","['neutral', 'neutral', 'negative']","['60', '77', '109']","['65', '80', '118']","[5, 3, 9]"
589,"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.","['food', 'quality of food']","['negative', 'negative']","['46', '80']","['50', '95']","[4, 15]"
590,I'd call it an 'italian dinner'.,['dinner'],['neutral'],['24'],['30'],[6]
591,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"['setting', 'service']","['positive', 'positive']","['75', '92']","['82', '99']","[7, 7]"
592,I'm happy to have Nosh in the neighborhood and the food is very comforting.,['food'],['positive'],['51'],['55'],[4]
593,"I'm no food critic, but I'd like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years.",['food'],['neutral'],['7'],['11'],[4]
594,I'm partial to the Gnocchi.,['Gnocchi'],['positive'],['19'],['26'],[7]
595,I'm still mad that i had to pay for lousy food.,['food'],['negative'],['42'],['46'],[4]
596,I've been coming here as a child and always come back for the taste.,['taste'],['positive'],['62'],['67'],[5]
597,I've been here 3 times for lunch and it is one of my favorites in the city.,['lunch'],['neutral'],['27'],['32'],[5]
598,I've been to Naples 45 for dinner twice.,['dinner'],['neutral'],['27'],['33'],[6]
599,I've been to several places for Dim Sum and this has got to be the WORST.,['Dim Sum'],['negative'],['32'],['39'],[7]
600,"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.","['Pho', 'Lemon grass chicken', 'Beef Cube on rice']","['positive', 'positive', 'positive']","['78', '83', '106']","['81', '102', '123']","[3, 19, 17]"
601,I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.,"['dining', 'price']","['positive', 'positive']","['98', '69']","['104', '74']","[6, 5]"
602,"I've eaten thai many times, and am very familiar with the cuisine.",['cuisine'],['neutral'],['58'],['65'],[7]
603,I've had pizza both times and the caprese salad appetizer.,"['pizza', 'caprese salad appetizer']","['neutral', 'neutral']","['9', '34']","['14', '57']","[5, 23]"
604,"I've had the chicken with garlic sauce, chicken with black bean sauce, and hunan chicken.","['chicken with garlic sauce', 'chicken with black bean sauce', 'hunan chicken']","['neutral', 'neutral', 'neutral']","['13', '40', '75']","['38', '69', '88']","[25, 29, 13]"
605,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",['lunch buffet'],['neutral'],['13'],['25'],[12]
606,I've had to wait only a few times during lunch but this place is definitely worth the wait.,"['lunch', 'wait']","['neutral', 'positive']","['41', '86']","['46', '90']","[5, 4]"
607,I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).,['waterbugs'],['negative'],['64'],['73'],[9]
608,I've never had bad service and the fish is fresh and delicious.,"['service', 'fish']","['positive', 'positive']","['19', '35']","['26', '39']","[7, 4]"
609,I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,"['employees', 'dining area']","['negative', 'neutral']","['40', '93']","['49', '104']","[9, 11]"
610,I've rarely had a problem with slow staff in the 10 years I've been going.,['staff'],['positive'],['36'],['41'],[5]
611,I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,"['ambience', 'food']","['neutral', 'neutral']","['105', '119']","['113', '123']","[8, 4]"
612,I've waited over one hour for food.,['food'],['neutral'],['30'],['34'],[4]
613,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,"['SERVICE', 'FOOD QUALITY', 'PRICES']","['negative', 'negative', 'negative']","['16', '27', '54']","['23', '39', '60']","[7, 12, 6]"
614,IT IS WHAT MODERN CUISINE IS ALL ABOUT.,['CUISINE'],['positive'],['18'],['25'],[7]
615,IT is the best deal in town for a Monday night dinner at a fine restaurant.,['dinner'],['positive'],['47'],['53'],[6]
616,"If I could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in NYC.","['people', 'pizza']","['positive', 'negative']","['20', '84']","['26', '89']","[6, 5]"
617,If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,"['scene', 'customers']","['negative', 'negative']","['34', '53']","['39', '62']","[5, 9]"
618,"If anyones has doubt of not knowing enough about wines,please check their wine list.","['wines', 'wine list']","['neutral', 'positive']","['49', '74']","['54', '83']","[5, 9]"
619,"If it isn't for the food (A+++), it must be the service or the ambience.","['food', 'service', 'ambience']","['positive', 'positive', 'positive']","['20', '48', '63']","['24', '55', '71']","[4, 7, 8]"
620,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!","['martini', 'bar', 'Roast Chicken']","['neutral', 'neutral', 'positive']","['21', '36', '88']","['28', '39', '101']","[7, 3, 13]"
621,"If presentation and service is your thing, then this magic show works.",['service'],['positive'],['20'],['27'],[7]
622,"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.","['spicy tuna roll', 'serving', 'nori']","['negative', 'neutral', 'negative']","['94', '53', '136']","['109', '60', '140']","[15, 7, 4]"
623,"If the weather is nice, try to snag an outside table.",['table'],['positive'],['47'],['52'],[5]
624,"If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.","['lazy susans', 'tables']","['positive', 'positive']","['90', '110']","['101', '116']","[11, 6]"
625,If you are in search of the most authentic NYC deli experience look no further than the famous and historic Katz's Deli down on the Lower East Side.,['deli'],['positive'],['47'],['51'],[4]
626,"If you are looking for a good quality, cheap eats - this is the place.",['quality'],['positive'],['30'],['37'],[7]
627,"If you are someone who appreciates simplicity, elegance, and wonderfully presented and tasting seafood and vegetables regardless of portion size, Kai is your place.","['seafood', 'vegetables', 'portion size']","['positive', 'positive', 'negative']","['95', '107', '132']","['102', '117', '144']","[7, 10, 12]"
